"target_auc","auc_mean","auc_sd","auc_q025","auc_q50","auc_q975","cor_mean","cor_sd","cor_q025","cor_q50","cor_q975"
0.75,0.750371203269624,0.0167155188989106,0.717321553071283,0.750470008414473,0.782132467844693,0.399507126743832,0.025606738978902,0.348322693256957,0.399725303815949,0.448928284910037
0.76,0.759809444404375,0.0164615393436988,0.726975958648876,0.760024041351124,0.791321913691549,0.414348029009144,0.025249160315528,0.363464240962721,0.414786591671323,0.462950124853365
0.77,0.769946880153865,0.0160964967481188,0.737598148815963,0.769938694554634,0.801149777617502,0.430143887798084,0.0245574525929633,0.380321585669684,0.43038970800051,0.477730251626522
0.78,0.779994255559562,0.0159221670542644,0.74814737348239,0.780189926673879,0.810685298713788,0.445933270961577,0.0243148427313487,0.396565695194422,0.446395436940893,0.492762439073699
0.79,0.789868575069119,0.0156162820966461,0.75829775213367,0.790337780983291,0.818810073326121,0.4613151964082,0.0237760094331876,0.41317449351664,0.46193967792393,0.505535137707057
0.8,0.79981577545378,0.0149873758286943,0.769697800216372,0.800225988700565,0.82846075249429,0.47686739407144,0.0229640705480917,0.430821911420281,0.477474184021646,0.52040312382565
0.81,0.80991228897704,0.0146774677962852,0.780213246784469,0.810217574227672,0.837722081981007,0.492730115544918,0.0224571172581903,0.447619919160688,0.493254381525747,0.535877499411693
0.82,0.820220039427816,0.014294978389974,0.791607645149657,0.82040149056377,0.847799014304604,0.508831694736099,0.0218858367592103,0.465277579577546,0.509137853503581,0.551008294078251
0.83,0.830036663541291,0.0139277211082836,0.802081740593821,0.830260848659695,0.856694434427215,0.524407853848047,0.0213450196935248,0.48121810692577,0.524562578811527,0.565287687960869
0.84,0.839668416877029,0.0134263902859515,0.812260848659695,0.839858156028369,0.865346556076452,0.539557567142964,0.0206721751423679,0.497806961652104,0.539836465277159,0.57929876742295
0.85,0.850098720519293,0.012737264342461,0.824373121769443,0.850268061065032,0.874187282125255,0.555993404974211,0.0197327129522533,0.516265774225756,0.556179176166292,0.593413384379276
0.86,0.859872625555956,0.0125092985312305,0.834138718595985,0.860040870296911,0.883851905277077,0.571734009681974,0.0193683908208403,0.532886121139909,0.572052822872302,0.608958715546518
0.87,0.869908614977762,0.011859278812366,0.845932443803342,0.869926673879072,0.892410385863685,0.58780010022722,0.0185783721131631,0.550253935358884,0.587965577979195,0.623631062177413
0.88,0.880210868133189,0.0116176127577493,0.856189325640101,0.880490443562928,0.901863445125616,0.604513204413925,0.0182634747245074,0.567094368852564,0.604822439327758,0.639097776389637
0.89,0.88992244981368,0.0109868385060208,0.867723284048564,0.89013583363385,0.910628921745402,0.620438826608534,0.0174822106677372,0.585790257113113,0.620601883310142,0.653864313460577
0.9,0.899930548864046,0.0104706978010562,0.878533357374684,0.900187522538767,0.919577353047241,0.637212954882031,0.0168163072122488,0.603224714973794,0.637537576886698,0.669682956480092
0.91,0.910115044596706,0.009787414268902,0.89030845053492,0.910212765957447,0.928770645510278,0.654541358660769,0.0161510144305926,0.622456716043931,0.654572306277405,0.685471112408997
0.92,0.920137462675802,0.00916003984716814,0.901752133669912,0.920430340185118,0.937367592258685,0.671938142076609,0.0154310195291698,0.641270093243687,0.672342955524712,0.70142566312802
0.93,0.930015454742157,0.00839327235314628,0.912912489481909,0.930287294145931,0.945642625315543,0.689685343110471,0.0143363520124862,0.661030280925068,0.690076468575566,0.716719289612787
0.94,0.940023523019594,0.00764020848425347,0.924433225147253,0.9402716672677,0.954278879673038,0.708333641407359,0.0136175375129556,0.681186570461702,0.708553621358155,0.734534018280876
0.95,0.950018556557279,0.00686618962082404,0.935982690227191,0.950253636254358,0.9629379733141,0.727983268013185,0.0127848947666481,0.702485478607433,0.728227549141405,0.752614901256009
0.96,0.959981363625436,0.00591927070417318,0.94773326120928,0.960259646592138,0.970910566173819,0.748841125445629,0.0116976498135011,0.724937262656706,0.749197446188028,0.770928519176908
0.97,0.970017647313379,0.00493940746284643,0.959850943623032,0.970188724606323,0.979098449332853,0.771945867999739,0.0107850388015401,0.750096807599933,0.771995810166979,0.7923498182703
0.98,0.979970050727251,0.00380318089440496,0.971991825940618,0.980163481187643,0.986801298232961,0.798237175225112,0.00943445718252396,0.779004897135387,0.798394179555455,0.816002272342659
0.99,0.989991543695156,0.00239138725835796,0.984868373602596,0.990147854309412,0.994307128260608,0.832260442391716,0.00790503702394667,0.816581198382668,0.832306036111953,0.847371070114808
1,1,0,1,1,1,0.938521243664679,0.00909033028535685,0.920279363399311,0.938565355523451,0.955717692053106
